"Typ";"Nazwa";"Adres";"Kod pocztowy";"Miasto";"Długość geograficzna";"Szerokość geograficzna";"Godziny odbioru";"Uwagi"
"POCZTA_POLSKA";"UP Ryn";"Ratuszowa 5";"11-520";"Ryn";"21.546833038330078";"53.93752670288086";"[{""day"":""MONDAY"",""from"":""09:00"",""to"":""20:00""},{""day"":""TUESDAY"",""from"":""09:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""09:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""09:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""17:00""}]";
"POCZTA_POLSKA";"UP Legnica 7";"Złotoryjska 1";"59-205";"Legnica";"16.160499572753906";"51.20690155029297";"[{""day"":""SATURDAY"",""from"":""08:30"",""to"":""14:30""},{""day"":""WORKING"",""from"":""07:30"",""to"":""19:30""}]";
"PACZKOMAT";"Paczkomat CZE06N";"Sabinowska 197";"42-200";"Częstochowa";"19.09751";"50.77718";"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]";"Stacja LPG RedGaz"
"POCZTA_POLSKA";"UP Resko";"Wojska Polskiego 8";"72-315";"Resko";"15.411232948303223";"53.772830963134766";"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""09:00"",""to"":""17:00""}]";
"POCZTA_POLSKA";"UP Poręba k. Zawiercia";"Fryderyka Chopina 1";"42-480";"Poręba";"19.33839988708496";"50.487701416015625";"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""12:30""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]";
"POCZTA_POLSKA";"FUP Sępólno Krajeńskie";"Nowa 1";"89-412";"Sośno";"17.68695068359375";"53.388275146484375";"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""FRIDAY"",""from"":""13:00"",""to"":""20:00""}]";
"POCZTA_POLSKA";"UP Mielec 6";"Władysława Szafera 6A";"39-303";"Mielec";"21.46312713623047";"50.2932014465332";"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""20:00""}]";
"PACZKOMAT";"Paczkomat LOD11A";"Kusocińskiego 143";"94-054";"Łódź";"19.38167";"51.74681";"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]";"Stacja paliw Orlen"
"RUCH";"PACZKA w RUCHu: LB-879288-11-04";"Spółdzielcza 4";"23-200";"Kraśnik";"22.232727";"50.927101";"[{""day"":""MONDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""TUESDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""SATURDAY"",""from"":""06:00"",""to"":""14:00""}]";
"POCZTA_POLSKA";"FUP Koronowo 1";"Tucholska 29";"86-013";"Mąkowarsko";"17.811626434326172";"53.4091911315918";"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""FRIDAY"",""from"":""13:00"",""to"":""20:00""}]";
